,C11/article06.txt,C11/article04.txt,C11/article08.txt,C11/article01.txt,C11/article02.txt,C11/article05.txt,C11/article07.txt,C11/article03.txt,C5/article13.txt,C5/article7.txt,C5/article1.txt,C5/article9.txt,C5/article8.txt,C5/article6.txt,C5/article5.txt,C5/article3.txt,C5/article4.txt,C5/article12.txt,C5/article10.txt,C5/article2.txt,C5/article11.txt,C3/article01.txt,C3/article02.txt,C3/article04.txt,C3/article03.txt,C4/article06.txt,C4/article04.txt,C4/article08.txt,C4/article01.txt,C4/article02.txt,C4/article05.txt,C4/article07.txt,C4/article03.txt,C6/article01.txt,C6/article05.txt,C6/article02.txt,C6/article04.txt,C6/article03.txt,C15/article06.txt,C15/article04.txt,C15/article01.txt,C15/article02.txt,C15/article05.txt,C15/article03.txt,C2/article06.txt,C2/article04.txt,C2/article08.txt,C2/article01.txt,C2/article02.txt,C2/article05.txt,C2/article07.txt,C2/article03.txt,C13/article06.txt,C13/article04.txt,C13/article01.txt,C13/article02.txt,C13/article05.txt,C13/article07.txt,C13/article03.txt,C9/article01.txt,C9/article02.txt,C9/article04.txt,C9/article03.txt,C8/article06.txt,C8/article09.txt,C8/article04.txt,C8/article08.txt,C8/article01.txt,C8/article10.txt,C8/article02.txt,C8/article05.txt,C8/article07.txt,C8/article03.txt,C7/article06.txt,C7/article04.txt,C7/article08.txt,C7/article01.txt,C7/article02.txt,C7/article05.txt,C7/article07.txt,C7/article03.txt,C14/article01.txt,C14/article05.txt,C14/article02.txt,C14/article04.txt,C14/article03.txt,C12/article06.txt,C12/article09.txt,C12/article04.txt,C12/article08.txt,C12/article01.txt,C12/article10.txt,C12/article02.txt,C12/article05.txt,C12/article07.txt,C12/article03.txt,C1/article06.txt,C1/article04.txt,C1/article08.txt,C1/article01.txt,C1/article02.txt,C1/article05.txt,C1/article07.txt,C1/article03.txt,C10/article13.txt,C10/article06.txt,C10/article02.txt,C10/article08.txt,C10/article01.txt,C10/article16.txt,C10/article14.txt,C10/article03.txt,C10/article15.txt,C10/article18.txt,C10/article12.txt,C10/article04.txt,C10/article09.txt,C10/article10.txt,C10/article11.txt,C10/article17.txt,C10/article05.txt,C10/article07.txt
0,British Empire,Volcano,Volcano,Chile,Volcano,Russia,Volcano,Antigua and Barbuda,International Atomic Energy Agency,International Atomic Energy Agency,George W. Bush,Iran,International Atomic Energy Agency,International Atomic Energy Agency,International Atomic Energy Agency,International Atomic Energy Agency,United Nations,Nuclear proliferation,International Atomic Energy Agency,International Atomic Energy Agency,Nuclear weapon,United States,United States,Latin America,Fighter aircraft,Jacques Chirac,Livestock,European Union,NATO,Israel,North Korea,Agriculture,Baghdad,Nuclear weapon,North Korea,South Korea,North Korea,Ballistic missile,Atlantic Ocean,Atlantic Ocean,Tropical cyclone,Tropical cyclone,Tropical cyclone,Tropical cyclone,Illegal drug trade,China,Amphetamine,Thailand,Mainland China,Illegal drug trade,Voivodeships of Poland,Amphetamine,North Korea,North Korea,Korean language,Kim Jong-il,North Korea,George W. Bush,North Korea,Cabinet,God,Russia,Morality,Pollution,Research,Pollution,Ocean,Oceanography,Pollution,Oceanography,Republic of China,Ocean,Pollution,Mortgage loan,Mortgage loan,Central bank,Mortgage loan,Mortgage,Junichiro Koizumi,Mortgage,Bank,Data mining,Risk,Credit,Prediction,Insurance,Iraq,United States,2003 invasion of Iraq,Iraq,2003 invasion of Iraq,George W. Bush,Iraq,Nuclear proliferation,Iraq,Prime Minister of the United Kingdom,Sardinia,New Zealand,Aircraft,International Civil Aviation Organization,Aircraft,Airport,Beijing,Aircraft,Tropical cyclone,Tropical cyclone,Tropical cyclone,Tropical cyclone,United States,Tropical cyclone,Tropical cyclone,Tropical cyclone,Tropical cyclone,Tropical cyclone,Tropical cyclone,Tropical cyclone,Tropical cyclone,Tropical cyclone,Tropical cyclone,Tropical cyclone,Tropical cyclone,Tropical cyclone
1,Carbon dioxide,Lava,Volcanoes,Latin America,Pacific Ocean,President of the United States,Kamchatka Peninsula,Caribbean Community,Nuclear proliferation,United Nations,Iran,International Atomic Energy Agency,Nuclear Non-Proliferation Treaty,Nuclear weapon,United Nations,Nuclear weapon,International Atomic Energy Agency,International Atomic Energy Agency,Nuclear weapon,United Nations,Nuclear proliferation,People's Republic of China,Hainan Island incident,Brazil,United States,European Parliament,Medicine,France,European Union,Arab citizens of Israel,Korea,Germany,Infectious disease,George W. Bush,Nuclear weapon,North Korea,Russia,Missile defense,Tropical cyclone,Tropical cyclone,Weather,Wind,Flood,Atlantic Ocean,Police,People's Republic of China,Methamphetamine,Shan,Republic of China,Police,Chemistry,Thailand,Kim Il-sung,Kim Jong-il,North Korea,North Korea,Kim Jong-il,Kim Jong-il,Kim Jong-il,Westminster system,Religion,Satanism,Youth,Waste,Ocean,Chlorine,Pacific Ocean,Geology,People's Republic of China,Geology,Kuomintang,Pacific Ocean,People's Republic of China,Debt,Government,Monetary policy,Interest,Lien,Mortgage,Japan,Lien,Data analysis,Predictive analytics,Credit score,Regression analysis,Statistics,Saddam Hussein,George W. Bush,George W. Bush,Gulf War,George W. Bush,Osama bin Laden,2003 invasion of Iraq,United States,George W. Bush,Tony Blair,Tempio Pausania,Tonga,Federal Aviation Administration,Federal Aviation Administration,Belgium,Airline,Republic of China,Airline,Storm,Atlantic Ocean,Storm,Wind,Atlantic Ocean,Wind,Atlantic Ocean,Storm,Atlantic Ocean,Hurricane Andrew,United States,Storm,Atlantic Ocean,Tropical cyclone meteorology,Wind,Tropical cyclone meteorology,Storm,Tropical cyclone meteorology
2,Volcano,Basalt,Plate tectonics,Andes,Pacific Ring of Fire,Aslan Maskhadov,Kronotsky,Caribbean,Nuclear weapon,Nuclear Non-Proliferation Treaty,President of the United States,Mahmoud Ahmadinejad,Nuclear proliferation,Nuclear proliferation,George W. Bush,Nuclear proliferation,Mahmoud Ahmadinejad,United Nations,Nuclear proliferation,Nuclear proliferation,International Atomic Energy Agency,Republic of China,Reconnaissance,United States,George W. Bush,European Commission,Infectious disease,Agriculture,Medicine,West Bank,Korean language,Alliance '90/The Greens,Iraq,Intercontinental ballistic missile,Nuclear Non-Proliferation Treaty,Korean War,Nuclear Non-Proliferation Treaty,Missile,Florida,Precipitation,Hurricane Katrina,Hurricane Katrina,Insurance,Precipitation,New Taiwan dollar,Economy of the People's Republic of China,Convention on Psychotropic Substances,Burma,Taipei,New Taiwan dollar,Masovian Voivodeship,Burma,Kim Jong-il,International Criminal Court,South Korea,Kim Jong-un,Kim Il-sung,North Korea,South Korea,Government ministers,Faith,Metaphysics,Young,Republic of China,Oil platform,offshore areas,Oceanography,Earth science,Shandong,Earth science,Executive Yuan,East China Sea,Marine pollution,Interest,Bank,Bank,Loan,Popular Bank,Debt,Mortgage loan,Mortgage,Scientific method,Decision theory,Predictive analytics,Future,Data analysis,Gulf War,2003 invasion of Iraq,Iraq War,Saddam Hussein,Iraq,War on Terrorism,Gulf War,Nuclear Non-Proliferation Treaty,2003 invasion of Iraq,Prime minister,Airline,Pacific Ocean,Airline,Airline,Brussels Airport,South Korea,Kuomintang,State Council of the People's Republic of China,Wind,United States,Thunderstorm,Atlantic Ocean,Tropical cyclone,Storm,United States,North Carolina,Storm,Storm,Storm,Tropical cyclone meteorology,Wind,Atlantic Ocean,Tropical cyclone meteorology,Hurricane Andrew,North Carolina,Storm
3,Pyroclastic flow,Earth,volcano group,Southern United States,Hawaii,Chechen Republic of Ichkeria,Koryaksky,Soufrière Hills,Nuclear Non-Proliferation Treaty,Mahmoud Ahmadinejad,Iraq,Akbar Hashemi Rafsanjani,Nuclear weapon,Nuclear Non-Proliferation Treaty,Nuclear Non-Proliferation Treaty,Nuclear Non-Proliferation Treaty,United Kingdom,Nuclear weapon,Nuclear Non-Proliferation Treaty,Foreign relations of Iran,Nuclear Non-Proliferation Treaty,Chinese calendar,Diplomacy,People's Republic of China,People's Republic of China,European Union,Causality,Agricultural economics,Greece,North District,South Korea,Agricultural economics,Disease,Nuclear proliferation,Nuclear proliferation,Kim Il-sung,Pyongyang,Anti-ballistic missile,Weather,Gulf of Mexico,Atlantic Ocean,Storm,National Flood Insurance Program,National Hurricane Center,MDMA,Cocaine,Thailand,Chiang Rai Province,Taiwan,MDMA,Crime,Smuggling,World War II,United Nations,Korean War,Bill Clinton,Korean People's Army,President of the United States,Korean Central News Agency,Prime minister,Islam,Ritual,Islam,People's Republic of China,Radar,organic substances,South China Sea,Hydrology,National People's Congress,Hydrology,Pollution,Sea of Japan,National People's Congress,Real estate,Interest rate,Interest rate,Debt,Prodi Hails,Bank,Lien,Romano Prodi,Prediction,Insurance,Credit bureau,Futurology,Scientific method,2003 invasion of Iraq,Osama bin Laden,Iraq,Israel,President of the United States,Al-Qaeda,George W. Bush,Saddam Hussein,United States,Cabinet,Gallurese,Polynesia,International Civil Aviation Organization,Avianca,National aviation authority,Aircraft,Yuan Dynasty,Security,Thunderstorm,Wind,North Carolina,Tropical cyclone meteorology,Southern United States,Tropical cyclone meteorology,East Coast of the United States,Wind,Thunderstorm,Wind,Atlantic Ocean,Thunderstorm,Tropical cyclone meteorology,Storm,Storm,United States,Thunderstorm,Hurricane Andrew
4,Waste,Magma,Kunlun Volcano Group,Earth,Kamchatka Peninsula,Chechnya,Pacific Ring of Fire,Pyroclastic flow,George W. Bush,United States,Mahmoud Ahmadinejad,Nuclear Non-Proliferation Treaty,United Nations,Nuclear program of Iran,Iran,Uranium,Diplomacy,Nuclear Non-Proliferation Treaty,Iran,Nuclear fission,Uranium,Chinese language,Republic of China,Spanish language,World War II,European Council,Domestic sheep,Agricultural policy,Norway,Palestinian National Authority,Korean War,Gerhard Schröder,Medicine,Cold War,Russia,Korean Demilitarized Zone,South Korea,North Korea,Hurricane Katrina,Weather,Precipitation,Weather,Storm,Carbon dioxide,Smuggling,Amphetamine,Dopamine,Mae Hong Son Province,Law enforcement agency,Smuggling,Rock music,Dextroamphetamine,Korean War,Kim Il-sung,Kim Il-sung,Kim Il-sung,Kim Jong-un,United States,Kim Il-sung,Heavy metal music,Egypt,Saint Petersburg,Religion,Water,Synthetic aperture radar,Indicates Ocean Pollution,Continent,Ocean,Coast,Ocean,Taiwan,Bohai Sea,Water pollution,Predatory lending,Ministry of Truth,Discount rate,Mortgage,mortgages,Interest rate,Bank of England,Lower house,Predictive analytics,Credit rating,Credit history,Forecasting,Time series,Iraq War,Iraq War,George H. W. Bush,2003 invasion of Iraq,United States,Iraq,Iraq War,George W. Bush,Iraq War,Gordon Brown,Aircraft,Airline,Russia,Civil aviation,Airline,Federal Aviation Administration,Airport,Police,United States,North Carolina,Tropical cyclone meteorology,Hurricane Katrina,North Carolina,Atlantic Ocean,Storm,Tropical cyclone meteorology,Wind,Thunderstorm,Wind,Atlantic Ocean,Storm,Hurricane Katrina,North Carolina,Atlantic Ocean,Tropical cyclone meteorology,Hurricane Katrina
5,Carbon,Volcanology,Spaceborne Imaging Radar,United States,New Zealand,Second Chechen War,Earth,Lava dome,Uranium,Iran,George H. W. Bush,Expediency Discernment Council,United Nations Security Council,Nuclear power,Jimmy Carter,Iran,European Union,Mohamed ElBaradei,Akbar Hashemi Rafsanjani,Ministry,Enriched uranium,China,People's Republic of China,Argentina,Hainan,President of the European Commission,Success,Le Figaro,Balkans,Six-Day War,Pyongyang,European Union,Drug,Anti-Ballistic Missile Treaty,World War II,Korean language,World War II,United States,Earth,Caribbean,Storm,Meteorology,Storm surge,Greenhouse gas,Republic of China,Drug addiction,Dextroamphetamine,Chiang Mai,Kuomintang,Republic of China,Drugs,Chiang Rai Province,Kim Jong-un,Kim Jong-un,Pyongyang,George W. Bush,Korean language,Bill Clinton,United Nations,Herbert Marshall,Devil,Moscow,Childhood,Law,South China Sea,Wang Shuguang,Continental shelf,Sea level,Beijing,Sea level,Democratic Progressive Party,Sea,Aquatic ecosystem,Loan,Republic of China,Lien,Hang Seng Bank,expensive mortgages,Interest,Dai-Ichi Kangyo Bank,Foreclosure,Hedge fund,Statistics,Problem solving,Prediction interval,Computer software,Iraq and weapons of mass destruction,Ballistic missile,President of the United States,Iraq War,Iraq War,2003 invasion of Iraq,United States,Nuclear weapon,Saddam Hussein,Westminster system,Prosecutor,Australia,State,Aircraft,The Authority,Seoul,Air China,Communist Party of China,Cyclone,Storm,Wind,Thunderstorm,New York City,Thunderstorm,Wind,Thunderstorm,Tornado,National Hurricane Center,Tropical cyclone meteorology,North Carolina,Thunderstorm,Hurricane Andrew,Week-day names,National Hurricane Center,Wind,North Carolina
6,Lava dome,Kīlauea,remote sensing,2010 Chile earthquake,United States,President,Orders of magnitude,West Indies Federation,Plutonium,United Kingdom,Bill Clinton,"Iranian presidential election, 2005",Kofi Annan,Uranium,Nuclear weapon,Enriched uranium,United States,Nuclear fission,Expediency Discernment Council,Petroleum,Iran,American films,Chinese language,Republic,Hainan Island incident,Barroso Commission,free vaccination campaign,Common Agricultural Policy,Council of Europe,Herod the Great,Epidemiology,Joschka Fischer,Import,Nuclear warfare,Nuclear disarmament,Korea,Nuclear disarmament,Junichiro Koizumi,Equator,Caribbean Sea,Storm surge,Sea surface temperature,Weather,Tropical cyclone meteorology,Kuomintang,MDMA,amphetamine dealers,Amphetamine,Police,Kuomintang,The Capital,Shan,South Korea,The Hague,World War II,World War II,Juche,Kim Il-sung,Donald Trump,English-language films,Ritual,United States Department of the Interior,Al-Azhar University,Taipei,Gravity wave,national survey,Oceans,Physical geography,Economy,Physical geography,Legislative Yuan,Coast,Inspection,Cabinet,Democratic Progressive Party,Mortgage,The Hongkong and Shanghai Banking Corporation,percent,Finance,Economy of Japan,Cheque,IPhone,Futurology,Prediction,Scientific method,Predictive modeling,Hussein Kamel al-Majid,Al-Qaeda,Dick Cheney,Syria,Saddam Hussein,Bill Clinton,Saddam Hussein,World War II,George H. W. Bush,Minister,Air safety,Pacific Islands Forum,Airport,Southwest Airlines,DHL Express,International Civil Aviation Organization,Runway,United States,Atlantic Ocean,American Civil War,Atlantic Ocean,Hurricane Andrew,The Carolinas,Cyclone,United Kingdom,United States,Beaufort scale,Tornado,Thunderstorm,Wind,Tornado,Thunderstorm,Beaufort scale,Storm,Atlantic Ocean,Thunderstorm
7,Sulfur,Tuff,Western Kunlun Mountains,Bernardo O'Higgins,Orders of magnitude,United States,Lava,Antigua,Nuclear power,European Union,Iraq War,Ali Khamenei,Mohamed ElBaradei,Enriched uranium,Mohamed ElBaradei,United Nations,United Nations Security Council,Nuclear power,United Kingdom,Philosophy,United Nations,Hainan Island incident,China,China,China,Bovine spongiform encephalopathy,Agriculture Minister Dr,Domestic sheep,European countries,Galilee,People's Republic of China,Agricultural policy,Safavid dynasty,North Korea,Korea,Pyongyang,Korea,Ballistics,Gulf of Mexico,Storm,Cyclone,Precipitation,Hurricane Katrina,Cyclone,Drug,Hong Kong,amphetamine trade,Provinces of Thailand,Chinese Civil War,Drug,illegal amphetamine laboratory,Laos,Korean language,21st century,Korea,Kim Yong-nam,Pyongyang,Korean War,Kim Jong-un,Qiryat Yam mayor,Satan,United States Department of Justice,Sociology,Marine pollution,Wind wave,river estuaries,Arctic Ocean,Biogeochemistry,Jinan,Biogeochemistry,Taiwan Province,Aquaculture,Law,Usury,Central bank,Subsidy,cent,new mortgages,Mortgage loan,Fixed rate mortgage,Interest rate,Futurology,Business intelligence,Forecasting,Statistics,Business intelligence,Baghdad,Iraq,Bill Clinton,Jordan,War on Terrorism,Iraq War,Baghdad,Axis of evil,President of the United States,Iraq War,Olbia,English-speaking countries and territories,Moscow,Northwest Airlines,Air safety,Korean Air,Weather,Federal Aviation Administration,Precipitation,Thunderstorm,Hurricane Katrina,Storm,U.S. state,Tornado,Tropical cyclone meteorology,Cyclone,Tropical cyclone meteorology,Tropical cyclone meteorology,Hurricane Andrew,Tornado,Cyclone,National Hurricane Center,Weather,Regional Specialized Meteorological Center,Hurricane Katrina,Atlantic Ocean
8,Volcano Evacuees,Western Kunlun Mountains,major international radar,Hudson Volcano,Kamchatka Volcano Erupts,Security Council secretary,Volcano Erupting Inaccurate,Montserrat Volcano Victims,Iran,Iran,key European governments,Iran,nuclear weapons,nuclear facilities,Security Council,Iran,Iran,IAEA chief Mohamed,Iran,nuclear fuel,Iran,Spy Plane Incident,United States,U.S. spy plane,Spy Plane Crew,Graefe zu Baringdorf,tangible progress,Le Figaro,Mouth Disease Contagion,Bedouin villages,mouth disease outbreak,German Greens,preventive treatment,National Missile Defence,North Korea,North Korea,non-proliferation treaty,United States,hurricane season,climate change,normal hurricane season,National Hurricane Center,Global Business Services,climate change,amphetamine,Shanghai Public Security,tablets,Ban Ho Mong,amphetamines,amphetamine,police,amphetamines,North Korea,Hes Fatboy Kim,South Korea,President Trumps threats,Kim Jong-il,Kim Jong,Mr Kim,Prime Minister Ehud,Blasts Satanic Cult,Russian Interior Ministry,satanic cult,ocean pollution,ocean,State Oceanic Administration,China,ocean pollution,enterprises creating pollution,ocean pollution,ocean pollution prevention,red tide,ocean environment,mortgage rates,Lower Mortgage Rate,mortgage rates,Hongkong Bank,incredible leap,Mr. Takenaka,major Japanese banks,mortgage rates,predictive analytics,predictive analytics,predictive analytics,predictive analytics,predictive analytics,Kamel,Mr. Hoon,WMDs,Saddam,president bush,Hussein,Iraq,North Korea,coalition forces,Saddam Hussein,spare parts,Royal Tongan Airline,correspondent Pavel Shevtsov,civil aeronautics,EAT,Airline Safety Guidelines,Air China,police force,Tropical depression Irene,Tropical Storm Irene,Tropical Storm Irene,tropical storm,Tropical Storm Irene,Tropical Storm Irene,Tropical depression Irene,National Hurricane Center,tropical depression irene,Tropical Storm Irene,tropical depression irene,Tropical storm Irene,Tropical Storm Irene,Tropical Storm Irene,Tropical Storm Irene,Tropical Storm Irene,Tropical Storm Irene,Tropical Storm Irene
9,Chief Minister,imaging-radar remote sensing,imaging-radar remote sensing,Hudson Volcano Activity,kilometres,presidential election,frontier guards,Soufriere Hills volcano,uranium conversion,Security Council,Iranian counterpart Mahmoud,International Atomic Energy,Iran,Iranian radio station,iran,nuclear weapons,U.N. Security Council,chief IAEA delegate,tyrannical move Iran,Iran nuclear fuel,uranium conversion,Commentary Views Consequences,Hindi Daily Views,swift return home,C-17 transport plane,Wilhelm Graefe zu,Iraqi Veterinary,French Food Health,State Veterinary Health,Mouth Contaminated Areas,dead diseased carcasses,Berlin agreements,raw materials,North Korea,nuclear weapons,South Korea,arms non-proliferation treaty,missile,epic Hurricane Katrina,bad storms,Atlantic hurricane season,climate change,high price tag,man-made climate change,amphetamine plant,Shanghai Police,Reports Big Increase,Mae Hong Son,Taipei Police Seize,amphetamine plant,half-product raw material,border opposite Chiang,Kim family,Kim Jong,Mr. Kim,Iranian President Hassan,Kim Jong-un,President Donald Trump,Mr Trump,Qiryat Yam school,Shaykh Nasr Farid,Satanic sects,al-Azhar Shaykh,CGA officials,spaceborne-sar ocean,heavy metals,development,ocean pollution problem,NPC fact-finding team,ocean pollution problem,Pollution Prevention Law,sea,Environment Protection Law,government-sponsored mortgage rates,Premier Yu Shyi-kun,Italian Banking Association,price war,short time,Minister Heizo Takenaka,Major Japan banks,Premier Romano Prodi,alternative data sources,predictive modeling,predictive models,predictive customer analytics,Predictive analytics software,Hussein Kamel,Saddam Hussein,President Bush,Baram,Saddam Hussein,Arab world,war,arms control,Saddam,leader Saddam Hussein,Tempio Pausania,Royal Tongan Airlines,RIA-Novosti correspondent,civil aeronautics director,pilots,commercial airline safety,different route groups,Liu Jianfeng,hurricane center,tropical storm status,tropical storm strength,Tropical Storm Irene,minimal hurricane,National Hurricane Center,tropical storm,Tropical Storm Irene,tropical storm,National Hurricane Center,Depression Irene Gains,National Hurricane Center,maximum sustained winds,National Hurricane Center,National Hurricane Center,tropical storm strength,tropical storm strength,hurricane specialist Stacy
